"frame","id","fase","niño_ef","nef_int","adulto_ef","aef_int","niño_mirada","nm_int","adulto_mirada","mi","am_int","pos_af","neut_af","neg_af","sync_af_int","sync_af_raw","pos_at","neut_at","neg_at","sync_at_int","sync_at_raw","niño_enjoy","niño_fuzz","niño_neut","niño_engag","niño_diseng","adulto_enjoy","adulto_fuzz","adulto_neut","adulto_engag","adulto_diseng"
1,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
2,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
3,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
4,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
5,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
6,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
7,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
8,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
9,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
10,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
11,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
12,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
13,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
14,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
15,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
16,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
17,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
18,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
19,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
20,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
21,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
22,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
23,"C3A03","Consigna_operador","Felicidad",1,NA,NA,"Rostro_pareja",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA
